,0
0,160.0
1,156.0
2,156.0
3,156.0
4,156.0
5,156.0
6,156.0
7,156.0
8,156.0
9,156.0
10,156.0
11,156.0
12,156.0
13,156.0
14,156.0
15,156.0
16,156.0
17,156.0
18,157.0
19,156.0
20,156.0
21,156.0
22,156.0
23,156.0
24,156.0
25,156.0
26,156.0
27,156.0
28,156.0
29,156.0
30,156.0
31,156.0
32,157.0
33,156.0
34,156.0
35,156.0
36,156.0
37,156.0
38,157.0
39,156.0
40,156.0
41,156.0
42,156.0
43,156.0
44,156.0
45,156.0
46,156.0
47,156.0
48,156.0
49,156.0
50,156.0
51,156.0
52,156.0
53,156.0
54,156.0
55,156.0
56,156.0
57,156.0
58,156.0
59,156.0
60,156.0
61,156.0
62,156.0
63,156.0
64,156.0
65,156.0
66,156.0
67,156.0
68,156.0
69,156.0
70,156.0
71,156.0
72,156.0
73,156.0
74,156.0
75,156.0
76,156.0
77,156.0
78,1163.0
79,156.0
80,156.0
81,156.0
82,156.0
83,156.0
84,156.0
85,156.0
86,156.0
87,156.0
88,157.0
89,156.0
90,157.0
91,156.0
92,156.0
93,156.0
94,156.0
95,156.0
96,156.0
97,157.0
98,157.0
99,156.0
