,0
0,155.0
1,155.0
2,154.0
3,155.0
4,155.0
5,154.0
6,154.0
7,154.0
8,154.0
9,154.0
10,154.0
11,155.0
12,154.0
13,154.0
14,155.0
15,155.0
16,154.0
17,154.0
18,155.0
19,155.0
20,154.0
21,155.0
22,155.0
23,154.0
24,155.0
25,155.0
26,155.0
27,157.0
28,155.0
29,154.0
30,155.0
31,154.0
32,155.0
33,154.0
34,155.0
35,155.0
36,154.0
37,154.0
38,154.0
39,155.0
40,154.0
41,154.0
42,155.0
43,155.0
44,154.0
45,155.0
46,154.0
47,155.0
48,155.0
49,155.0
50,155.0
51,155.0
52,154.0
53,154.0
54,154.0
55,154.0
56,155.0
57,154.0
58,155.0
59,155.0
60,154.0
61,154.0
62,155.0
63,154.0
64,155.0
65,155.0
66,154.0
67,154.0
68,154.0
69,155.0
70,154.0
71,155.0
72,154.0
73,155.0
74,155.0
75,154.0
76,154.0
77,155.0
78,155.0
79,154.0
80,154.0
81,154.0
82,154.0
83,155.0
84,155.0
85,155.0
86,154.0
87,155.0
88,155.0
89,155.0
90,155.0
91,155.0
92,154.0
93,155.0
94,155.0
95,154.0
96,155.0
97,155.0
98,172.0
99,155.0
